activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011803,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,5,2,1,4,2,2,2,2,45000.0,63.808,10.275,NA,2,NA,2652.14,799,,,240,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,169,30%-<36%,2,2,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,2,6,,,,,10,,,,6175,88.24,65300,163,1327,2071,17
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011903,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,5,2,1,4,2,2,1,2,75000.0,61.077,8.825,NA,2,NA,0,NA,NA,NA,240,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,166,30%-<36%,2,2,11,1,,,,11,1,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,45-54,No,No,2,2,6,,,,,10,,,,5400,97.35,65300,140,857,1398,0
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011002,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,2,2,55000.0,45.618,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,52,NA,2,2,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,>74,65-74,Yes,Yes,2,2,6,,,,,7,,,,9436,84.78,65300,175,1851,2591,28
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011802,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,4,2,2,1,2,85000.0,65.627,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,395000,1,1,3,5,1,NA,81,NA,2,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,2,6,,,,,3,,,,5245,88.48,65300,105,689,984,44
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011001,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,32,2,2,1,2,45000.0,78.487,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,98,NA,2,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,2,6,,,,,4,,,,6362,87.25,65300,165,803,1653,21
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011201,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,4,2,2,1,2,155000.0,74.783,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,84,NA,2,10,11,1,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,2,6,,,,,7,,,,8254,87.28,65300,160,1314,2115,18
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011201,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,5,2,1,4,2,2,1,2,55000.0,77.537,11.5,NA,2,NA,0,NA,NA,NA,360,NA,1,2,1,2,2,475000,1,1,3,5,1,NA,166,20%-<30%,2,2,11,1,,,,11,1,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,2,2,6,,,,,10,,,,8254,87.28,65300,160,1314,2115,18
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011803,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,3,0,2,1,4,2,2,2,2,45000.0,62.271,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,61,NA,9,2,2,,,,,2,,,,,2,2,3,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,2,2,6,,,,,7,,,,6175,88.24,65300,163,1327,2071,17
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,4,1,2,1,2,75000.0,27.751,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,275000,1,3,3,5,1,NA,241,NA,2,10,14,11,1,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,2,6,,,,,7,,,,8254,87.28,65300,160,1314,2115,18
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011803,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,5,2,1,4,2,2,2,2,55000.0,61.533,8.875,NA,2,NA,2700.14,799,,,240,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,57,44,2,2,2,,,,,2,,,,,2,2,3,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,2,2,6,,,,,10,,,,6175,88.24,65300,163,1327,2071,17
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011903,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,2,2,2,2,2,55000.0,40.76,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,73,NA,2,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,2,6,,,,,9,,,,5400,97.35,65300,140,857,1398,0
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025010102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,1,2,1,2,1,2,85000.0,34.783,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,235000,1,3,3,5,1,NA,182,NA,2,2,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,2,6,,,,,7,,,,4738,90.48,65300,77,779,1662,43
